TID,VAR,TRP,VAL,TRF,GRD
DC193812743,TC,RS,1,RM,
DC193812744,TC,R,1,RM,
DC193812744,TC,RG,1,RM,
DC193812744,TC,RM,1,RM,0.0
DC193812744,TC,RS,1,RM,
DC193812745,TC,R,1,RM,
DC193812745,TC,RG,1,RM,
DC193812745,TC,RM,1,RM,
DC193812745,TC,RS,1,RM,
DC195812611,TC,R,0,RM,
DC195812611,TC,RG,0,RM,
DC195812611,TC,RM,0,RM,1.0
DC195812611,TC,RS,0,RM,
DC195812612,TC,R,1,RM,
DC195812612,TC,RG,1,RM,
DC195812612,TC,RM,1,RM,
DC195812612,TC,RS,1,RM,
DC197014631,TC,R,1,R,1.0
DC197014631,TC,RG,1,R,
DC197014631,TC,RM,1,R,
DC197014631,TC,RS,1,R,
DC197014632,TC,R,1,R,0.0
DC197014632,TC,RG,1,R,
DC197014632,TC,RM,1,R,
DC197014632,TC,RS,1,R,
DC197014633,TC,R,0,R,0.0
DC197014633,TC,RG,0,R,
DC197014633,TC,RM,0,R,
DC197014633,TC,RS,0,R,
DC197014634,TC,R,0,R,
DC197014634,TC,RG,0,R,
DC197014634,TC,RM,0,R,
DC197014634,TC,RS,0,R,
DC199211191,TC,R,1,R,0.0
DC199211191,TC,RG,1,R,
DC199211191,TC,RM,1,R,
DC199211191,TC,RS,1,R,
DC199211192,TC,R,0,RG,
DC199211192,TC,RG,0,RG,
DC199211192,TC,RM,0,RG,
DC199211192,TC,RS,0,RG,
DC202712541,TC,R,1,RM,
DC202712541,TC,RG,1,RM,
DC202712541,TC,RM,1,RM,1.0
DC202712541,TC,RS,1,RM,
DC202712542,TC,R,0,RM,
DC202712542,TC,RG,0,RM,
DC202712542,TC,RM,0,RM,0.0
DC202712542,TC,RS,0,RM,
DC202712543,TC,R,1,RM,
DC202712543,TC,RG,1,RM,
DC202712543,TC,RM,1,RM,
DC202712543,TC,RS,1,RM,
DC203811981,TC,R,0,RS,
DC203811981,TC,RG,0,RS,
DC203811981,TC,RM,0,RS,
DC203811981,TC,RS,0,RS,0.0
DC203811982,TC,R,1,RS,
DC203811982,TC,RG,1,RS,
DC203811982,TC,RM,1,RS,
DC203811982,TC,RS,1,RS,
DC208813671,TC,R,0,R,1.0
DC208813671,TC,RG,0,R,
DC208813671,TC,RM,0,R,
DC208813671,TC,RS,0,R,
DC208813672,TC,R,1,R,1.0
DC208813672,TC,RG,1,R,
DC208813672,TC,RM,1,R,
DC208813672,TC,RS,1,R,
